X,Y,objectid,featuretype,class,name,operationalstatus,state,spatialconfidence,revised,ga_guid,description,voltagekv,locality,comment_,x_coordinate,y_coordinate
146.390381711,-35.971445237,82,Substation,Zone,Corowa,Operational,New South Wales,4,2017/02/23 00:00:00+00,{F7B30C7B-49FA-4EEC-81D1-7E85ABCA0DB3},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Corowa,,146.39038171,-35.97144524
147.177839842,-41.440939278,83,Substation,Substation,St Leonards,Operational,Tasmania,5,2017/02/23 00:00:00+00,{D71E198E-058E-460A-8BF6-3D30D9D3CDBC},"A structure in which high voltage electricity supply is converted, controlled or transformed",110,St Leonards,,147.17783984,-41.44093928
115.781144192,-31.772984702,84,Substation,Substation,Edgewater,Operational,Western Australia,5,2017/02/23 00:00:00+00,{B6B76470-51AE-4008-BA3A-2EB322C3BF46},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Edgewater,,115.78114419,-31.7729847
115.953774296,-31.97495771,85,Substation,Zone,Kewdale,Operational,Western Australia,5,2017/02/23 00:00:00+00,{CB57CF4E-C714-48DD-9FA4-0BDE6D55F15B},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Kewdale,,115.9537743,-31.97495771
115.801125229,-32.151674611,86,Substation,Substation,Cockburn Cement Limited,Operational,Western Australia,5,2017/02/23 00:00:00+00,{08D6184C-BB0C-48D2-893D-379E4525F89C},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Munster,,115.80112523,-32.15167461
115.774144237,-32.202601113,87,Substation,Sole Use,Kwinana Stage C,Operational,Western Australia,5,2017/02/23 00:00:00+00,{A9D979A2-0951-4EA6-ACFB-4A73352C9494},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Naval Base,,115.77414424,-32.20260111
115.922027276,-32.9150089079999,88,Substation,Transmission,Alinta-Wagerup,Operational,Western Australia,5,2017/02/23 00:00:00+00,{883B9337-D25C-45F7-935B-B1965DB2BC7C},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Wagerup,,115.92202728,-32.91500891
116.759423925,-29.18768728,89,Substation,Sole Use,Karara Mine,Operational,Western Australia,5,2019/06/19 00:00:00+00,{63C5105A-7D10-4249-A661-270AE6620AB2},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Rothsay,,116.75942393,-29.18768728
115.796186428,-29.519223607,90,Substation,Terminal,Three Springs,Operational,Western Australia,5,2017/02/23 00:00:00+00,{B603B25B-2BE7-4D4D-9B61-1313BD80BDB4},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Womarden,,115.79618643,-29.51922361
133.892141378,-23.708974897,91,Substation,Substation,Ron Goodin,Operational,Northern Territory,5,2017/02/23 00:00:00+00,{4B8516D1-C745-4D9E-98FF-0B73CB889628},"A structure in which high voltage electricity supply is converted, controlled or transformed",22,Sadadeen,,133.89214138,-23.7089749
